      1  2  3     4      5  6     7       8  
=============================================
      1 10 14 48.914893 10 14 48.926326 12000
      2 10 14 48.924988 10 14 48.937147 12000
      3 10 14 48.934973 10 14 48.947099 12000
      4 10 14 48.944971 10 14 48.956935 12000
      5 10 14 48.954976 10 14 48.967643 12000
      6 10 14 48.964978 10 14 48.976725 12000
      7 10 14 48.974991 10 14 48.986665 12000
      8 10 14 48.984980 10 14 48.996600 12000
      9 10 14 48.994971 10 14 49.006585 12000
     10 10 14 49.004972 10 14 49.016579 12000
     11 10 14 49.014974 10 14 49.026595 12000
     12 10 14 49.024974 10 14 49.036580 12000
     13 10 14 49.034973 10 14 49.046582 12000
     14 10 14 49.044972 10 14 49.056581 12000
     15 10 14 49.054972 10 14 49.066935 12000
     16 10 14 49.065873 10 14 49.077477 12000
     17 10 14 49.075240 10 14 49.087369 12000
     18 10 14 49.084918 10 14 49.097276 12000
     19 10 14 49.094980 10 14 49.107159 12000
     20 10 14 49.104973 10 14 49.117074 12000
     21 10 14 49.114975 10 14 49.126967 12000
     22 10 14 49.124980 10 14 49.136839 12000
     23 10 14 49.134973 10 14 49.146731 12000
     24 10 14 49.144973 10 14 49.156623 12000
     25 10 14 49.154975 10 14 49.166589 12000
     26 10 14 49.164971 10 14 49.176583 12000
     27 10 14 49.174973 10 14 49.186723 12000
     28 10 14 49.184972 10 14 49.196592 12000
     29 10 14 49.194977 10 14 49.206598 12000
     30 10 14 49.204973 10 14 49.216580 12000
     31 10 14 49.214975 10 14 49.226584 12000
     32 10 14 49.224972 10 14 49.236586 12000
     33 10 14 49.234972 10 14 49.246591 12000
     34 10 14 49.244965 10 14 49.256582 12000
     35 10 14 49.254975 10 14 49.266616 12000
     36 10 14 49.264983 10 14 49.276597 12000
     37 10 14 49.274977 10 14 49.286586 12000
     38 10 14 49.284973 10 14 49.296581 12000
     39 10 14 49.294946 10 14 49.306552 12000
     40 10 14 49.304974 10 14 49.316606 12000
     41 10 14 49.314971 10 14 49.326599 12000
     42 10 14 49.325217 10 14 49.336835 12000
     43 10 14 49.334972 10 14 49.346722 12000
     44 10 14 49.344971 10 14 49.356617 12000
     45 10 14 49.354976 10 14 49.366601 12000
     46 10 14 49.364972 10 14 49.376581 12000
     47 10 14 49.374977 10 14 49.386606 12000
     48 10 14 49.384973 10 14 49.396577 12000
